name,image,property,variation,scale,rating,attempt
,,,,,,
Chris,im2,br,1.3,1_10,5,2
,,,,,,
Chris,im2,br,0.85,1_10,5,2
,,,,,,
Chris,im2,br,1.15,1_10,3,2
,,,,,,
Chris,im2,br,0.7,1_10,8,2
,,,,,,
Chris,im2,br,1,1_10,9,2
,,,,,,
Chris,im2,br,1.45,1_10,7,2
,,,,,,
Chris,im2,br,1.3,words,schlecht,2
,,,,,,
Chris,im2,br,0.85,words,mittel,2
,,,,,,
Chris,im2,br,1.15,words,mittel,2
,,,,,,
Chris,im2,br,0.7,words,gut,2
,,,,,,
Chris,im2,br,1,words,gut,2
,,,,,,
Chris,im2,br,1.45,words,schlecht,2
,,,,,,
Chris,im2,br,1.3,grades,3+,2
,,,,,,
Chris,im2,br,0.85,grades,3+,2
,,,,,,
Chris,im2,br,1.15,grades,3,2
,,,,,,
Chris,im2,br,0.7,grades,2+,2
,,,,,,
Chris,im2,br,1,grades,2+,2
,,,,,,
Chris,im2,br,1.45,grades,2-,2
,,,,,,
Chris,im2,br,1.3,1_50,18,2
,,,,,,
Chris,im2,br,0.85,1_50,36,2
,,,,,,
Chris,im2,br,1.15,1_50,23,2
,,,,,,
Chris,im2,br,0.7,1_50,39,2
,,,,,,
Chris,im2,br,1,1_50,43,2
,,,,,,
Chris,im2,br,1.45,1_50,40,2
,,,,,,
Chris,im2,con,1,1_10,8,2
,,,,,,
Chris,im2,con,0.85,1_10,8,2
,,,,,,
Chris,im2,con,1.45,1_10,5,2
,,,,,,
Chris,im2,con,1.3,1_10,4,2
,,,,,,
Chris,im2,con,0.7,1_10,8,2
,,,,,,
Chris,im2,con,1.15,1_10,6,2
,,,,,,
Chris,im2,con,1,words,mittel,2
,,,,,,
Chris,im2,con,0.85,words,mittel,2
,,,,,,
Chris,im2,con,1.45,words,schlecht,2
,,,,,,
Chris,im2,con,1.3,words,schlecht,2
,,,,,,
Chris,im2,con,0.7,words,gut,2
,,,,,,
Chris,im2,con,1.15,words,gut,2
,,,,,,
Chris,im2,con,1,grades,2-,2
,,,,,,
Chris,im2,con,0.85,grades,2,2
,,,,,,
Chris,im2,con,1.45,grades,3,2
,,,,,,
Chris,im2,con,1.3,grades,3+,2
,,,,,,
Chris,im2,con,0.7,grades,1-,2
,,,,,,
Chris,im2,con,1.15,grades,2+,2
,,,,,,
Chris,im2,con,1,1_50,41,2
,,,,,,
Chris,im2,con,0.85,1_50,36,2
,,,,,,
Chris,im2,con,1.45,1_50,23,2
,,,,,,
Chris,im2,con,1.3,1_50,29,2
,,,,,,
Chris,im2,con,0.7,1_50,44,2
,,,,,,
Chris,im2,con,1.15,1_50,42,2
,,,,,,
Chris,im2,sat,0.9,1_10,4,2
,,,,,,
Chris,im2,sat,1.6,1_10,8,2
,,,,,,
Chris,im2,sat,0.75,1_10,9,2
,,,,,,
Chris,im2,sat,1.4,1_10,8,2
,,,,,,
Chris,im2,sat,1,1_10,7,2
,,,,,,
Chris,im2,sat,1.2,1_10,9,2
,,,,,,
Chris,im2,sat,0.9,words,schlecht,2
,,,,,,
Chris,im2,sat,1.6,words,gut,2
,,,,,,
Chris,im2,sat,0.75,words,gut,2
,,,,,,
Chris,im2,sat,1.4,words,mittel,2
,,,,,,
Chris,im2,sat,1,words,mittel,2
,,,,,,
Chris,im2,sat,1.2,words,sehr gut,2
,,,,,,
Chris,im2,sat,0.9,grades,2-,2
,,,,,,
Chris,im2,sat,1.6,grades,2+,2
,,,,,,
Chris,im2,sat,0.75,grades,2+,2
,,,,,,
Chris,im2,sat,1.4,grades,2+,2
,,,,,,
Chris,im2,sat,1,grades,3+,2
,,,,,,
Chris,im2,sat,1.2,grades,1,2
,,,,,,
Chris,im2,sat,0.9,1_50,33,2
,,,,,,
Chris,im2,sat,1.6,1_50,43,2
,,,,,,
Chris,im2,sat,0.75,1_50,36,2
,,,,,,
Chris,im2,sat,1.4,1_50,30,2
,,,,,,
Chris,im2,sat,1,1_50,40,2
,,,,,,
Chris,im2,sat,1.2,1_50,46,2
,,,,,,
Chris,im6,br,1.3,1_10,8,2
,,,,,,
Chris,im6,br,0.85,1_10,4,2
,,,,,,
Chris,im6,br,1.15,1_10,7,2
,,,,,,
Chris,im6,br,0.7,1_10,10,2
,,,,,,
Chris,im6,br,1,1_10,10,2
,,,,,,
Chris,im6,br,1.45,1_10,8,2
,,,,,,
Chris,im6,br,1.3,words,gut,2
,,,,,,
Chris,im6,br,0.85,words,schlecht,2
,,,,,,
Chris,im6,br,1.15,words,mittel,2
,,,,,,
Chris,im6,br,0.7,words,sehr gut,2
,,,,,,
Chris,im6,br,1,words,sehr gut,2
,,,,,,
Chris,im6,br,1.45,words,gut,2
,,,,,,
Chris,im6,br,1.3,grades,1,2
,,,,,,
Chris,im6,br,0.85,grades,3+,2
,,,,,,
Chris,im6,br,1.15,grades,3+,2
,,,,,,
Chris,im6,br,0.7,grades,1,2
,,,,,,
Chris,im6,br,1,grades,1-,2
,,,,,,
Chris,im6,br,1.45,grades,2+,2
,,,,,,
Chris,im6,br,1.3,1_50,47,2
,,,,,,
Chris,im6,br,0.85,1_50,21,2
,,,,,,
Chris,im6,br,1.15,1_50,36,2
,,,,,,
Chris,im6,br,0.7,1_50,47,2
,,,,,,
Chris,im6,br,1,1_50,46,2
,,,,,,
Chris,im6,br,1.45,1_50,44,2
,,,,,,
Chris,im6,con,1,1_10,10,2
,,,,,,
Chris,im6,con,0.85,1_10,7,2
,,,,,,
Chris,im6,con,1.45,1_10,8,2
,,,,,,
Chris,im6,con,1.3,1_10,6,2
,,,,,,
Chris,im6,con,0.7,1_10,10,2
,,,,,,
Chris,im6,con,1.15,1_10,9,2
,,,,,,
Chris,im6,con,1,words,gut,2
,,,,,,
Chris,im6,con,0.85,words,sehr gut,2
,,,,,,
Chris,im6,con,1.45,words,mittel,2
,,,,,,
Chris,im6,con,1.3,words,schlecht,2
,,,,,,
Chris,im6,con,0.7,words,sehr gut,2
,,,,,,
Chris,im6,con,1.15,words,gut,2
,,,,,,
Chris,im6,con,1,grades,1,2
,,,,,,
Chris,im6,con,0.85,grades,2+,2
,,,,,,
Chris,im6,con,1.45,grades,2,2
,,,,,,
Chris,im6,con,1.3,grades,3-,2
,,,,,,
Chris,im6,con,0.7,grades,1,2
,,,,,,
Chris,im6,con,1.15,grades,1,2
,,,,,,
Chris,im6,con,1,1_50,47,2
,,,,,,
Chris,im6,con,0.85,1_50,47,2
,,,,,,
Chris,im6,con,1.45,1_50,38,2
,,,,,,
Chris,im6,con,1.3,1_50,18,2
,,,,,,
Chris,im6,con,0.7,1_50,50,2
,,,,,,
Chris,im6,con,1.15,1_50,46,2
,,,,,,
Chris,im6,sat,0.9,1_10,4,2
,,,,,,
Chris,im6,sat,1.6,1_10,10,2
,,,,,,
Chris,im6,sat,0.75,1_10,8,2
,,,,,,
Chris,im6,sat,1.4,1_10,5,2
,,,,,,
Chris,im6,sat,1,1_10,9,2
,,,,,,
Chris,im6,sat,1.2,1_10,9,2
,,,,,,
Chris,im6,sat,0.9,words,schlecht,2
,,,,,,
Chris,im6,sat,1.6,words,sehr gut,2
,,,,,,
Chris,im6,sat,0.75,words,mittel,2
,,,,,,
Chris,im6,sat,1.4,words,schlecht,2
,,,,,,
Chris,im6,sat,1,words,gut,2
,,,,,,
Chris,im6,sat,1.2,words,sehr gut,2
,,,,,,
Chris,im6,sat,0.9,grades,2-,2
,,,,,,
Chris,im6,sat,1.6,grades,1-,2
,,,,,,
Chris,im6,sat,0.75,grades,2+,2
,,,,,,
Chris,im6,sat,1.4,grades,3-,2
,,,,,,
Chris,im6,sat,1,grades,2+,2
,,,,,,
Chris,im6,sat,1.2,grades,1,2
,,,,,,
Chris,im6,sat,0.9,1_50,22,2
,,,,,,
Chris,im6,sat,1.6,1_50,48,2
,,,,,,
Chris,im6,sat,0.75,1_50,40,2
,,,,,,
Chris,im6,sat,1.4,1_50,17,2
,,,,,,
Chris,im6,sat,1,1_50,43,2
,,,,,,
Chris,im6,sat,1.2,1_50,48,2
